AT,#accounts-ledger.AT_0000#,H,00,A,,0000
AT,#accounts-ledger.AT_0010#,A,015,A,AP_amount,0010
AT,#accounts-ledger.AT_0100#,H,01,A,,0100
AT,#accounts-ledger.AT_0110#,A,011,A,AP_amount,0110
AT,#accounts-ledger.AT_0200#,H,02-03,A,,0200
AT,#accounts-ledger.AT_0210#,A,020,A,AP_amount,0210
AT,#accounts-ledger.AT_0220#,A,021,A,AP_amount,0220
AT,#accounts-ledger.AT_0229#,A,039,A,,0229
AT,#accounts-ledger.AT_0400#,H,04-05,A,,0400
AT,#accounts-ledger.AT_0410#,A,041,A,AP_amount,0410
AT,#accounts-ledger.AT_0419#,A,069,A,,0419
AT,#accounts-ledger.AT_0500#,H,06,A,,0500
AT,#accounts-ledger.AT_0510#,A,063,A,AP_amount,0510
AT,#accounts-ledger.AT_0519#,A,069,A,,0519
AT,#accounts-ledger.AT_0600#,H,06,A,,0600
AT,#accounts-ledger.AT_0620#,A,066,A,AP_amount,0620
AT,#accounts-ledger.AT_0625#,A,069,A,,0625
AT,#accounts-ledger.AT_0700#,H,07,A,,0700
AT,#accounts-ledger.AT_0800#,H,08-09,A,,0800
AT,#accounts-ledger.AT_0810#,A,081,A,AP_amount,0810
AT,#accounts-ledger.AT_0820#,A,080,A,AP_amount,0820
AT,#accounts-ledger.AT_1100#,H,1,A,,1100
AT,#accounts-ledger.AT_1120#,A,110-119,A,IC,1120
AT,#accounts-ledger.AT_1200#,H,1,A,,1200
AT,#accounts-ledger.AT_1220#,A,120-129,A,IC,1220
AT,#accounts-ledger.AT_1300#,H,1,A,,1300
AT,#accounts-ledger.AT_1320#,A,130-134,A,IC,1320
AT,#accounts-ledger.AT_1350#,A,135-139,A,IC,1350
AT,#accounts-ledger.AT_1400#,H,1,A,,1400
AT,#accounts-ledger.AT_1420#,A,140-149,A,IC,1420
AT,#accounts-ledger.AT_1500#,H,1,A,,1500
AT,#accounts-ledger.AT_1520#,A,150-159,A,IC,1520
AT,#accounts-ledger.AT_1530#,A,150-159,A,IC,1530
AT,#accounts-ledger.AT_1540#,A,150-159,A,IC,1540
AT,#accounts-ledger.AT_1600#,H,1,A,,1600
AT,#accounts-ledger.AT_1700#,H,1,A,,1700
AT,#accounts-ledger.AT_1800#,H,1,A,,1800
AT,#accounts-ledger.AT_1900#,H,1,A,,1900
AT,#accounts-ledger.AT_2000#,H,2,A,,2000
AT,#accounts-ledger.AT_2010#,A,200-207,A,AR,2010
AT,#accounts-ledger.AT_2019#,A,20-21,A,,2019
AT,#accounts-ledger.AT_2300#,H,2,A,,2300
AT,#accounts-ledger.AT_2320#,A,23-24,A,AP_amount,2320
AT,#accounts-ledger.AT_2500#,H,2,A,,2500
AT,#accounts-ledger.AT_2520#,A,25,A,AP_amount,2520
