CH,11121,inventory_accno_id
CH,34002,income_accno_id
CH,42005,expense_accno_id
CH,36005,fxgain_accno_id
CH,39006,fxloss_accno_id
CH,CHF:EUR:USD,curr
CH,kg,weightunit
TW,1520,inventory_accno_id
TW,4020,income_accno_id
TW,5010,expense_accno_id
TW,4450,fxgain_accno_id
TW,5810,fxloss_accno_id
TW,USD,curr
TW,kg,weightunit
GB,1001,inventory_accno_id
GB,4000,income_accno_id
GB,5000,expense_accno_id
GB,4920,fxgain_accno_id
GB,5220,fxloss_accno_id
GB,GBP:USD:EUR,curr
GB,kg,weightunit
US,1510,inventory_accno_id
US,4010,income_accno_id
US,5010,expense_accno_id
US,4450,fxgain_accno_id
US,5810,fxloss_accno_id
US,USD:CAD:EUR,curr
US,lbs,weightunit
US_mfg,1520,inventory_accno_id
US_mfg,4020,income_accno_id
US_mfg,5020,expense_accno_id
US_mfg,4450,fxgain_accno_id
US_mfg,5810,fxloss_accno_id
US_mfg,USD:CAD:EUR,curr
US_mfg,lbs,weightunit
US_service,1520,inventory_accno_id
US_service,4410,income_accno_id
US_service,5020,expense_accno_id
US_service,4450,fxgain_accno_id
US_service,5810,fxloss_accno_id
US_service,USD:CAD:EUR,curr
US_service,lbs,weightunit
VE,1520,inventory_accno_id
VE,4020,income_accno_id
VE,5020,expense_accno_id
VE,4450,fxgain_accno_id
VE,5810,fxloss_accno_id
VE,VEB:USD,curr
VE,kg,weightunit
